"id","date","state","city","department","victim_number","victim_weight","reported_pitbull","actual_breed","source","source2","source3","victim_name","officer_name","seizure","survival","children","hospitalization","hospitalization_police_injury","arrest","fine","uniform","warrant_or_pc","beware_of_dog","suspension","firing","lawsuit","criminal_charge"
1476,"1998-03-10","Texas","Amarillo","Amarillo Police Department, Potter County Sheriffs Office",1,2,0,"Unconfirmed","http://amarillo.com/stories/031098/021-7152.002.shtml",,,"Unknown","Richard Anderson - shooter, Darryl Wertz",1,2,0,0,1,1,1,"Uniform",3,3,0,0,0,0
1477,"2000-05-12","Texas","Amarillo","Amarillo Police Department, Amarillo Animal Management &amp; Welfare",1,50,0,"Belgian Malanois, 2yo police K9","http://amarillo.com/stories/2000/05/13/new_k9attack.shtml",,,"Unknown","Billy Reeves",1,0,0,1,1,0,0,"Plain Clothes",3,2,0,0,2,0
1478,"2011-07-19","Texas","Amarillo","Amarillo Police Department",1,2,1,"Unconfirmed","http://m.amarillo.com/news/latest-news/2011-07-20/naked-man-flees-amarillo-home-after-dog-attack#gsc.tab=0",,,"Unknown","Unknown",2,0,0,0,0,0,2,"Uniform",2,2,2,2,2,0
1479,"2008-11-01","Tennessee","Memphis","Memphis Police Department",1,2,0,"Unconfirmed","http://www.myfoxmemphis.com/story/19660700/trigger-happy-officer-under-investigation",,,"Unknown","Terrance Shaw",2,2,2,2,2,2,2,"Not Sure",2,2,0,0,0,0
1480,"2011-06-01","Tennessee","Memphis","Memphis Police Department",1,2,0,"Unconfirmed","http://www.wmcactionnews5.com/story/24044886/terrance-shaw-accused-of-rape-sodomy-on-alabama-campus",,,"Unknown","Terrance Shaw",2,2,2,2,2,2,2,"Not Sure",2,2,0,0,0,0
1481,"2008-08-11","South Dakota","Fort Pierre","Stanley County Sheriffs Office",1,2,1,"Unconfirmed","http://siouxcityjournal.com/news/pit-bull-shot-after-two-bitten-in-s-d/article_dfa9a6f7-b840-5006-abba-557bc5b3d0e5.html",,,"Unknown","Unknown",2,0,1,1,0,2,2,"Uniform",2,2,0,0,0,0
1482,"2008-08-20","South Carolina","Seneca","Oconee County Sheriffs Office, Oconee County Animal Control",1,2,1,"Unconfirmed","http://www.independentmail.com/news/local-news/dog-shot-after-attack-child-west-union",,,"Unknown","Unknown police, unknown animal control",1,0,1,1,0,2,2,"Uniform",1,2,0,0,0,0
1483,"2008-09-30","South Carolina","Seneca","Seneca Police Department, Oconee County Animal Control",2,2,1,"Unconfirmed","http://archive.upstatetoday.com/?p=31883",,,"Unknown","Andy Caudill, Robbie Johnson - shooter, JB Smith - shooter",1,0,2,1,0,2,2,"Uniform",2,3,0,0,2,0
1484,"2014-03-28","Texas","Tomball","Harris County Precinct 4 Constable",2,2,1,"Unconfirmed","http://www.khou.com/story/news/2014/07/25/12417684/",,,"Unknown","Unknown",1,0,2,0,0,2,2,"Plain Clothes",3,3,0,0,0,0
1485,"2013-12-28","South Carolina","Greenville","Greenville County Sheriffs Office",1,2,1,"Unconfirmed","http://www.greenvilleonline.com/story/news/2014/01/01/greenville-opens-its-heart-to-the-homeless-as-agencies-strive-for-long-term-solutions-/4273381/",,,"Coco","Unknown",0,0,2,0,0,0,0,"Uniform",0,0,0,0,0,0
1486,"2008-03-05","South Carolina","Edgefield","Edgefield Police Department",1,2,1,"Unconfirmed","https://web.archive.org/web/20080320093252/http://www.edgefielddaily.com/edgefield030608_2.html",,,"Unknown","Unknown",2,0,2,0,0,2,2,"Uniform",1,3,0,0,0,0
1487,"2007-07-31","South Carolina","Edgefield","Edgefield County Sheriff, Edgefield County Animal Control Division",7,2,1,"Two dogs, five goats","https://web.archive.org/web/20081202011605/http://www.edgefielddaily.com/sheriff073107.html",,,"Unknown","Unknown",2,0,2,0,0,3,3,"Uniform",1,3,0,0,0,0
1488,"2007-10-26","South Carolina","Trenton","Edgefield County Sheriffs Office",3,2,1,"Two dogs and one pig","https://web.archive.org/web/20080829210720/http://www.edgefielddaily.com/trenton102607.html",,,"Unknown","Unknown",2,0,0,0,0,3,3,"Uniform",1,3,0,0,0,0
1489,"2014-11-11","South Carolina","Elgin","Kershaw County Sheriffs Office, Kershaw County Animal Control",1,2,1,"Unconfirmed","http://www.wistv.com/story/27364363/kershaw-co-deputy-shoots-charging-dog-after-it-attacked-woman",,,"Unknown","Unknown",1,0,2,0,0,2,2,"Uniform",3,3,2,2,2,0
1490,"2014-06-09","Indiana","New Albany","New Albany Police Department, New Albany Floyd County Animal Control ",2,2,0,"Unconfirmed","http://www.wave3.com/story/25732952/police-shoot-dogs-after-they-attack-man",,,"Unknown","Unknown police, unknown animal control",2,0,2,0,0,2,2,"Uniform",2,3,2,0,2,0
1491,"2013-06-24","Alabama","Hanceville","Hanceville Police Department",1,50,0,"Belgian Malinois, 6yo police K9","http://www.wistv.com/story/22675862/hanceville-officer-forced-to-shoot-k9-after-dog-attacks-him",,,"Itchabon","Unknown K9 trainer",1,0,0,1,1,0,0,"Not Sure",3,2,2,0,2,0
1492,"2011-12-29","Arizona","Sierra Vista","Sierra Vista Police Department",1,50,0,"German Shepherd and Chow mix","http://www.wistv.com/story/16423324/police-kill-dog-after-it-attacked-its-owner",,,"Unknown","Unknown",2,0,2,2,0,0,2,"Uniform",1,2,0,0,0,0
1494,"2012-04-20","Ohio","Fostoria","Seneca County Drug Task Force, Fostoria Police Department",1,2,0,"Unconfirmed","http://www.nbc24.com/news/story.aspx?id=744535",,,"Unknown","Unknown",2,0,2,2,2,2,2,"Not Sure",1,2,2,2,2,2
1495,"2011-10-05","Arizona","Tucson","Tucson Police Department",2,2,1,"Unconfirmed","http://www.wistv.com/story/15622433/tucson-officer-shoot-and-kill-two-pit-bulls",,,"Unknown","Unknown",1,0,2,2,0,2,2,"Uniform",3,3,0,0,0,0
1496,"2010-02-04","South Carolina","Irmo","Irmo Police Department, City of Columbia Animal Services Division",1,10,0,"Unconfirmed","http://www.wistv.com/story/11954006/irmo-police-officer-uses-taser-on-25-pound-dog",,,"Taser","Unknown police, unknown animal control",0,1,1,0,0,0,1,"Uniform",2,3,2,2,2,2
1497,"2008-07-11","South Carolina","Anderson","Anderson County Sheriffs Office",1,30,1,"Unconfirmed","http://www.independentmail.com/news/local-news/crime/anderson-dog-shot-while-attacking-duty-deputy",,,"Unknown","Stephanie Rushton",0,0,2,0,0,1,1,"Plain Clothes",3,3,0,0,0,0
1498,"2008-07-18","South Carolina","Walhalla","US Marshalls, Oconee County Sheriffs Office",1,2,1,"Unconfirmed","http://www.wspa.com/story/21495183/us-marshall-attacked-by-pit-bull",,,"Unknown","Unknown",2,2,2,2,2,2,2,"Not Sure",1,2,2,2,2,2
1499,"2008-04-07","South Carolina","Anderson","Anderson Police Department",2,2,1,"Unconfirmed","http://www.independentmail.com/news/local-news/anderson-cop-shoots-pit-bull-after-attack-5-year-o",,,"Unknown","Mark Miller",2,0,1,0,0,2,2,"Uniform",2,2,0,0,0,0
1500,"2008-10-05","Pennsylvania","York City","York City Police",1,2,1,"Unconfirmed","http://www.ydr.com/ci_10663808",,,"Unknown","Unknown",2,2,2,0,2,2,2,"Not Sure",0,2,2,2,2,0
